날짜,시가*,고가,저가,종가**,거래량,시가총액
07-Aug-20,?59.98,?65.43,?59.65,?62.73,"?8,086,553,617","?11,560,279,073"
06-Aug-20,?58.43,?61.55,?57.09,?60.10,"?3,156,953,878","?11,074,433,203"
05-Aug-20,?57.96,?59.88,?56.90,?58.43,"?3,145,178,811","?10,766,868,786"
04-Aug-20,?61.41,?63.70,?57.76,?57.82,"?7,605,409,082","?10,655,172,527"
03-Aug-20,?53.99,?63.55,?53.41,?61.41,"?7,537,981,379","?11,315,785,707"
02-Aug-20,?56.08,?56.63,?53.30,?53.97,"?7,240,896,788","?9,944,668,281"
01-Aug-20,?55.24,?59.57,?54.62,?56.14,"?7,327,516,046","?10,345,629,487"
31-Jul-20,?54.45,?64.41,?52.89,?55.03,"?12,169,859,314","?10,140,217,503"
30-Jul-20,?50.50,?55.15,?48.44,?54.45,"?3,285,223,054","?10,033,447,576"
29-Jul-20,?49.13,?51.06,?47.29,?50.50,"?2,589,379,876","?9,305,550,853"
28-Jul-20,?50.67,?52.18,?48.27,?49.28,"?3,073,951,168","?9,081,638,224"
27-Jul-20,?57.11,?59.22,?49.07,?50.18,"?5,831,672,573","?9,246,621,784"
26-Jul-20,?50.31,?62.69,?47.61,?57.11,"?9,488,712,881","?10,524,845,420"
25-Jul-20,?51.96,?53.08,?50.26,?50.31,"?4,576,723,122","?9,271,519,644"
24-Jul-20,?55.97,?59.58,?51.18,?52.00,"?6,138,837,568","?9,582,193,540"
23-Jul-20,?58.26,?67.02,?54.59,?55.97,"?14,884,301,320","?10,314,228,184"
22-Jul-20,?47.66,?58.72,?46.89,?58.26,"?6,203,934,620","?10,736,617,582"
21-Jul-20,?43.75,?50.92,?43.40,?47.79,"?5,540,527,134","?8,806,415,397"
20-Jul-20,?36.77,?47.03,?36.35,?43.75,"?3,249,852,009","?8,062,464,388"
19-Jul-20,?33.92,?38.36,?33.16,?36.72,"?818,124,917","?6,732,805,809"
18-Jul-20,?35.09,?36.83,?33.71,?33.92,"?192,827,883","?6,218,953,679"
17-Jul-20,?36.73,?37.39,?34.16,?35.09,"?353,975,867","?6,433,745,997"
16-Jul-20,?36.99,?41.77,?36.08,?36.66,"?1,508,341,694","?6,720,503,471"
15-Jul-20,?36.99,?38.29,?35.11,?37.23,"?935,991,275","?6,825,562,724"
14-Jul-20,?35.45,?37.92,?32.46,?36.99,"?329,775,456","?6,780,749,951"
13-Jul-20,?39.81,?39.97,?35.10,?35.45,"?662,612,929","?6,498,738,007"
12-Jul-20,?38.39,?44.44,?38.18,?39.81,"?957,498,608","?7,299,176,791"
11-Jul-20,?35.99,?39.48,?35.76,?38.32,"?1,046,620,998","?7,025,742,086"
10-Jul-20,?35.79,?37.53,?34.28,?35.92,"?1,377,457,339","?6,586,212,691"
09-Jul-20,?33.92,?37.06,?33.23,?35.79,"?1,527,519,974","?6,561,319,146"
08-Jul-20,?33.87,?35.42,?33.17,?33.92,"?1,752,333,100","?6,218,885,064"
07-Jul-20,?33.97,?34.75,?33.09,?33.87,"?2,934,780,702","?6,209,376,555"
06-Jul-20,?34.35,?35.32,?33.46,?33.97,"?3,197,517,844",?0
05-Jul-20,?33.12,?35.75,?33.12,?34.35,"?2,789,770,486",?0
04-Jul-20,?33.06,?34.74,?32.52,?33.12,"?2,391,057,545",?0
03-Jul-20,?32.72,?35.98,?31.54,?33.06,"?2,545,795,666",?0
02-Jul-20,?36.85,?38.08,?32.52,?32.68,"?3,683,316,834",?0
01-Jul-20,?37.39,?37.56,?35.67,?36.83,"?4,369,638,670",?0
30-Jun-20,?38.49,?40.03,?35.17,?37.44,"?4,939,555,081",?0
29-Jun-20,?39.47,?41.59,?38.36,?38.49,"?5,115,865,035",?0
