날짜,시가*,고가,저가,종가**,거래량,시가총액
03-Aug-20,?13.73,?13.92,?13.60,?13.76,"?988,088,262","?511,748,044"
02-Aug-20,?14.35,?14.47,?12.97,?13.73,"?1,076,703,752","?510,722,678"
01-Aug-20,?14.65,?14.73,?14.20,?14.43,"?861,815,674","?536,692,541"
31-Jul-20,?14.13,?16.53,?14.02,?14.65,"?5,180,441,738","?544,796,554"
30-Jul-20,?14.05,?14.85,?13.63,?14.13,"?1,759,718,263","?525,384,830"
29-Jul-20,?13.41,?14.38,?13.37,?14.05,"?912,806,632","?522,365,290"
28-Jul-20,?12.75,?13.99,?12.61,?13.44,"?1,213,209,328","?499,916,306"
27-Jul-20,?13.27,?13.39,?12.26,?12.79,"?942,580,837","?475,607,006"
26-Jul-20,?13.58,?13.59,?13.18,?13.28,"?495,954,588","?493,699,677"
25-Jul-20,?13.50,?13.73,?13.42,?13.58,"?499,032,895","?505,114,517"
24-Jul-20,?13.79,?13.82,?13.38,?13.50,"?536,542,142","?502,050,080"
23-Jul-20,?13.93,?14.03,?13.71,?13.79,"?839,191,730","?512,732,942"
22-Jul-20,?13.72,?14.03,?13.70,?13.93,"?527,502,531","?518,169,073"
21-Jul-20,?13.63,?14.02,?13.58,?13.77,"?931,804,135","?511,937,372"
20-Jul-20,?13.70,?13.72,?13.46,?13.63,"?346,180,683","?506,910,480"
19-Jul-20,?13.42,?13.73,?13.32,?13.70,"?306,729,006","?509,323,945"
18-Jul-20,?13.26,?13.43,?13.15,?13.42,"?638,690,304","?499,184,930"
17-Jul-20,?13.23,?13.42,?13.05,?13.28,"?627,572,735","?493,783,730"
16-Jul-20,?13.57,?13.62,?12.92,?13.28,"?672,253,045","?493,919,659"
15-Jul-20,?13.72,?13.82,?13.46,?13.57,"?641,420,747","?504,561,098"
14-Jul-20,?13.90,?13.96,?13.64,?13.70,"?698,039,633","?509,602,269"
13-Jul-20,?14.27,?14.43,?13.80,?13.90,"?810,416,585","?516,963,878"
12-Jul-20,?14.27,?14.44,?14.09,?14.27,"?413,214,947","?530,562,013"
11-Jul-20,?14.22,?14.42,?14.14,?14.27,"?423,762,924","?530,587,645"
10-Jul-20,?13.94,?14.22,?13.73,?14.22,"?702,032,128","?528,773,333"
09-Jul-20,?14.13,?14.21,?13.84,?13.94,"?688,757,370","?518,519,680"
08-Jul-20,?13.94,?14.30,?13.72,?14.18,"?763,690,720","?527,407,288"
07-Jul-20,?13.80,?14.56,?13.68,?13.94,"?994,200,422","?518,387,875"
06-Jul-20,?13.70,?13.97,?13.70,?13.80,"?715,166,719","?513,311,261"
05-Jul-20,?13.81,?13.86,?13.67,?13.70,"?301,437,084","?509,593,594"
04-Jul-20,?13.94,?14.08,?13.72,?13.81,"?546,259,697","?513,543,582"
03-Jul-20,?13.84,?14.34,?13.49,?13.94,"?831,840,879","?518,544,312"
02-Jul-20,?14.00,?14.63,?13.62,?13.84,"?919,540,878","?514,705,902"
01-Jul-20,?13.47,?14.05,?13.45,?14.00,"?688,914,549","?520,762,708"
30-Jun-20,?13.73,?13.88,?13.35,?13.53,"?712,218,989","?503,276,038"
29-Jun-20,?13.52,?13.94,?13.27,?13.73,"?638,839,326","?510,446,791"
28-Jun-20,?13.36,?13.71,?12.97,?13.52,"?812,084,265","?502,658,444"
27-Jun-20,?14.19,?14.19,?13.21,?13.36,"?232,760,151","?496,994,284"
26-Jun-20,?14.40,?14.59,?13.88,?14.19,"?408,195,135","?527,562,352"
25-Jun-20,?14.38,?14.71,?13.88,?14.40,"?641,452,739","?535,669,138"
24-Jun-20,?14.86,?15.05,?14.18,?14.38,"?906,663,605","?534,588,160"
23-Jun-20,?15.08,?15.18,?14.74,?14.86,"?829,933,291","?552,520,030"
22-Jun-20,?15.27,?15.54,?14.80,?15.08,"?1,355,251,433","?560,931,963"
21-Jun-20,?15.41,?15.51,?15.21,?15.27,"?457,995,264","?568,041,074"
20-Jun-20,?15.60,?16.09,?15.08,?15.42,"?641,520,398","?573,408,227"
19-Jun-20,?14.50,?15.60,?14.28,?15.60,"?1,581,751,703","?580,164,137"
